_id,type,level,miliseconds,action
1,4,0,1.58E+12,No
2,5,0,1.58E+12,No
3,4,0,1.58E+12,No
4,5,0,1.58E+12,No
5,4,0,1.58E+12,No
6,5,0,1.58E+12,No
7,4,0,1.58E+12,No
8,5,0,1.58E+12,No
9,4,0,1.58E+12,No
10,5,0,1.58E+12,No
11,4,0,1.58E+12,No
12,5,0,1.58E+12,No
13,4,0,1.58E+12,No
14,5,0,1.58E+12,No
15,4,0,1.58E+12,No
16,5,0,1.58E+12,No
17,4,0,1.58E+12,No
18,5,0,1.58E+12,No
19,4,0,1.58E+12,No
20,5,0,1.58E+12,No
21,4,0,1.58E+12,No
22,5,0,1.58E+12,No
23,4,0,1.58E+12,No
24,5,0,1.58E+12,No
25,4,0,1.58E+12,No
26,5,0,1.58E+12,No
27,4,0,1.58E+12,No
28,5,0,1.58E+12,No
29,4,0,1.58E+12,No
30,5,0,1.58E+12,No
31,4,0,1.58E+12,No
32,5,0,1.58E+12,No
33,4,0,1.58E+12,No
34,5,0,1.58E+12,No
35,4,0,1.58E+12,No
36,5,0,1.58E+12,No
37,4,0,1.58E+12,No
38,5,0,1.58E+12,No
39,4,0,1.58E+12,No
40,5,0,1.58E+12,No
41,4,0,1.58E+12,No
42,5,0,1.58E+12,No
43,4,0,1.58E+12,No
44,5,0,1.58E+12,No
45,4,0,1.58E+12,No
46,5,0,1.58E+12,No
47,4,0,1.58E+12,No
48,5,0,1.58E+12,No
49,4,0,1.58E+12,No
50,5,0,1.58E+12,No
51,4,0,1.58E+12,No
52,5,0,1.58E+12,No
53,4,0,1.58E+12,No
54,5,0,1.58E+12,No
55,4,0,1.58E+12,No
56,5,0,1.58E+12,No
57,4,0,1.58E+12,No
58,5,0,1.58E+12,No
59,4,0,1.58E+12,No
60,5,0,1.58E+12,No
61,4,0,1.58E+12,No
62,5,0,1.58E+12,No
63,4,0,1.58E+12,No
64,5,0,1.58E+12,No
65,4,0,1.58E+12,No
66,5,0,1.58E+12,No
67,4,0,1.58E+12,No
68,5,0,1.58E+12,No
69,4,0,1.58E+12,No
70,5,0,1.58E+12,No
71,22,39,1.58E+12,No
72,4,0,1.58E+12,No
73,5,0,1.58E+12,No
74,22,41,1.58E+12,No
75,22,42,1.58E+12,No
76,4,0,1.58E+12,No
77,5,0,1.58E+12,No
78,22,74,1.58E+12,Stop
79,22,38,1.58E+12,No
80,22,40,1.58E+12,No
81,4,47,1.58E+12,No
82,5,51,1.58E+12,No
83,22,44,1.58E+12,No
84,22,52,1.58E+12,No
85,4,70,1.58E+12,Fwd
86,5,60,1.58E+12,Left
87,4,70,1.58E+12,Fwd
88,5,60,1.58E+12,Left
89,4,70,1.58E+12,Fwd
90,5,60,1.58E+12,Left
91,4,66,1.58E+12,Fwd
92,5,51,1.58E+12,No
93,4,57,1.58E+12,No
94,5,21,1.58E+12,No
95,22,40,1.58E+12,No
96,22,43,1.58E+12,No
97,4,80,1.58E+12,Fwd
98,5,23,1.58E+12,No
99,22,40,1.58E+12,No
100,4,43,1.58E+12,No
101,5,4,1.58E+12,No
102,4,51,1.58E+12,No
103,5,1,1.58E+12,No
104,22,41,1.58E+12,No
105,22,34,1.58E+12,No
106,22,39,1.58E+12,No
107,4,60,1.58E+12,Fwd
108,5,1,1.58E+12,No
109,22,92,1.58E+12,Stop
110,22,43,1.58E+12,No
111,4,44,1.58E+12,No
112,5,1,1.58E+12,No
113,22,36,1.58E+12,No
114,22,40,1.58E+12,No
115,4,56,1.58E+12,No
116,5,1,1.58E+12,No
117,22,42,1.58E+12,No
118,4,54,1.58E+12,No
119,5,1,1.58E+12,No
120,22,55,1.58E+12,No
121,4,50,1.58E+12,No
122,5,3,1.58E+12,No
123,22,36,1.58E+12,No
124,4,35,1.58E+12,No
125,5,1,1.58E+12,No
126,22,40,1.58E+12,No
127,4,30,1.58E+12,No
128,5,13,1.58E+12,No
129,4,34,1.58E+12,No
130,5,7,1.58E+12,No
131,22,35,1.58E+12,No
132,4,40,1.58E+12,No
133,5,1,1.58E+12,No
134,4,56,1.58E+12,No
135,5,1,1.58E+12,No
136,22,107,1.58E+12,Stop
137,22,57,1.58E+12,No
138,22,41,1.58E+12,No
139,22,55,1.58E+12,No
140,4,63,1.58E+12,Fwd
141,5,7,1.58E+12,No
142,22,38,1.58E+12,No
143,4,61,1.58E+12,Fwd
144,5,8,1.58E+12,No
145,4,77,1.58E+12,Fwd
146,5,30,1.58E+12,No
147,22,45,1.58E+12,No
148,4,70,1.58E+12,Fwd
149,5,35,1.58E+12,No
150,4,70,1.58E+12,Fwd
151,5,35,1.58E+12,No
152,4,56,1.58E+12,No
153,5,21,1.58E+12,No
154,4,70,1.58E+12,Fwd
155,5,17,1.58E+12,No
156,4,50,1.58E+12,No
157,5,14,1.58E+12,No
158,4,66,1.58E+12,Fwd
159,5,7,1.58E+12,No
160,4,90,1.58E+12,Fwd
161,5,8,1.58E+12,No
162,22,41,1.58E+12,No
163,22,44,1.58E+12,No
164,4,74,1.58E+12,Fwd
165,5,26,1.58E+12,No
166,22,38,1.58E+12,No
167,4,83,1.58E+12,Fwd
168,5,29,1.58E+12,No
169,4,83,1.58E+12,Fwd
170,5,29,1.58E+12,No
171,4,83,1.58E+12,Fwd
172,5,29,1.58E+12,No
173,4,83,1.58E+12,Fwd
174,5,29,1.58E+12,No
175,4,83,1.58E+12,Fwd
176,5,29,1.58E+12,No
177,4,64,1.58E+12,Fwd
178,5,35,1.58E+12,No
179,4,64,1.58E+12,Fwd
180,5,40,1.58E+12,No
181,4,64,1.58E+12,Fwd
182,5,40,1.58E+12,No
183,4,64,1.58E+12,Fwd
184,5,40,1.58E+12,No
185,4,64,1.58E+12,Fwd
186,5,40,1.58E+12,No
187,4,44,1.58E+12,No
188,5,37,1.58E+12,No
189,4,29,1.58E+12,No
190,5,23,1.58E+12,No
191,4,24,1.58E+12,No
192,5,27,1.58E+12,No
193,4,24,1.58E+12,No
194,5,27,1.58E+12,No
195,4,24,1.58E+12,No
196,5,27,1.58E+12,No
197,4,20,1.58E+12,No
198,5,34,1.58E+12,No
199,4,50,1.58E+12,No
200,5,27,1.58E+12,No
201,22,39,1.58E+12,No
202,4,56,1.58E+12,No
203,5,34,1.58E+12,No
204,22,46,1.58E+12,No
205,22,40,1.58E+12,No
206,4,60,1.58E+12,Fwd
207,5,27,1.58E+12,No
208,22,50,1.58E+12,No
209,22,44,1.58E+12,No
210,4,60,1.58E+12,Fwd
211,5,23,1.58E+12,No
212,22,52,1.58E+12,No
213,4,66,1.58E+12,Fwd
214,5,38,1.58E+12,No
215,22,46,1.58E+12,No
216,4,57,1.58E+12,No
217,5,44,1.58E+12,No
218,22,59,1.58E+12,No
219,22,104,1.58E+12,Stop
220,4,64,1.58E+12,Fwd
221,5,51,1.58E+12,No
222,22,55,1.58E+12,No
223,4,57,1.58E+12,No
224,5,41,1.58E+12,No
225,22,41,1.58E+12,No
226,4,35,1.58E+12,No
227,5,11,1.58E+12,No
228,22,40,1.58E+12,No
229,22,62,1.58E+12,Stop
230,4,26,1.58E+12,No
231,5,1,1.58E+12,No
232,22,58,1.58E+12,No
233,22,40,1.58E+12,No
234,4,35,1.58E+12,No
235,5,4,1.58E+12,No
236,22,39,1.58E+12,No
237,22,53,1.58E+12,No
238,4,40,1.58E+12,No
239,5,26,1.58E+12,No
240,22,40,1.58E+12,No
241,22,40,1.58E+12,No
242,4,50,1.58E+12,No
243,5,48,1.58E+12,No
244,22,43,1.58E+12,No
245,4,74,1.58E+12,Fwd
246,5,53,1.58E+12,No
247,4,54,1.58E+12,No
248,5,48,1.58E+12,No
249,4,50,1.58E+12,No
250,5,35,1.58E+12,No
251,22,40,1.58E+12,No
252,4,40,1.58E+12,No
253,5,27,1.58E+12,No
254,4,24,1.58E+12,No
255,5,30,1.58E+12,No
